id,created_time,latency,service_time,done,times_forwarded
363,4.537500000000031,0.040000000000000036,0.04,True,1
365,4.562500000000031,0.028999999999999915,0.029,True,1
364,4.550000000000031,0.04300000000000015,0.043,True,1
367,4.587500000000031,0.03399999999999981,0.034,True,1
366,4.575000000000031,0.04999999999999982,0.05,True,1
368,4.600000000000032,0.04100000000000037,0.041,True,1
370,4.625000000000032,0.03300000000000036,0.033,True,1
371,4.637500000000032,0.040000000000000036,0.04,True,1
369,4.612500000000032,0.07500000000000018,0.075,True,1
372,4.650000000000032,0.041999999999999815,0.042,True,1
373,4.6625000000000325,0.030999999999999694,0.031,True,1
374,4.675000000000033,0.03000000000000025,0.03,True,1
375,4.687500000000033,0.03500000000000014,0.035,True,1
376,4.700000000000033,0.041999999999999815,0.042,True,1
377,4.712500000000033,0.038000000000000256,0.038,True,1
378,4.725000000000033,0.027000000000000135,0.027,True,1
379,4.737500000000034,0.0519999999999996,0.052,True,1
380,4.750000000000034,0.040000000000000036,0.04,True,1
382,4.775000000000034,0.02799999999999958,0.028,True,1
381,4.762500000000034,0.04600000000000026,0.046,True,1
383,4.787500000000034,0.027000000000000135,0.027,True,1
384,4.8000000000000345,0.03500000000000014,0.035,True,1
385,4.812500000000035,0.04999999999999982,0.05,True,1
387,4.837500000000035,0.028999999999999915,0.029,True,1
386,4.825000000000035,0.041999999999999815,0.042,True,1
388,4.850000000000035,0.03300000000000036,0.033,True,1
